gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2801415526,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS836647768,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Filey Area,England,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,54.2167,-0.27452,,,,,,,1995-10-21T00:00:00,21,10,1995,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS836647768,,,,CC0_1_0,,obsr520853,,,2021-03-09T13:04:36.408Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801323638,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS906249968,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Cakebole (Worcestershire),England,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,52.35,-2.188,,,,,,,2002-04-03T00:00:00,3,4,2002,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS906249968,,,,CC0_1_0,,obsr1356540,,,2021-03-09T13:03:50.124Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801317443,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_NZ:OBS891980388,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Adlingfleet,England,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,53.6779,-0.725289,,,,,,,1996-08-25T00:00:00,25,8,1996,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD_NZ,OBS891980388,,,,CC0_1_0,,obsr154907,,,2021-03-09T13:04:35.883Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801288300,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS921557177,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Whittington,England,PRESENT,3,e2e717bf-551a-4917-bdc9-4fa0f342c530,52.4313,-2.19998,,,,,,,2015-05-31T00:00:00,31,5,2015,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS921557177,,,,CC0_1_0,,obsr1370924,,,2021-03-09T12:56:12.443Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801287138,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS899497783,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Long Eaton Gravel Pits,England,PRESENT,12,e2e717bf-551a-4917-bdc9-4fa0f342c530,52.8844,-1.25257,,,,,,,2005-02-22T00:00:00,22,2,2005,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS899497783,,,,CC0_1_0,,obsr1654743,,,2021-03-09T13:03:49.610Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801238810,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS906767494,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Sheepdrove Ringing Base,England,PRESENT,4,e2e717bf-551a-4917-bdc9-4fa0f342c530,51.5274,-1.48128,,,,,,,2009-03-01T00:00:00,1,3,2009,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS906767494,,,,CC0_1_0,,obsr1463852,,,2021-03-09T12:56:11.511Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801218391,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS875679433,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,"Grange Farm, Knapwell (TL36 G)",England,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,52.2487,-0.055533,,,,,,,2010-06-09T00:00:00,9,6,2010,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS875679433,,,,CC0_1_0,,obsr1387074,,,2021-03-09T13:04:34.628Z,,COORDINATE_ROUNDED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801158518,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS933994747,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Choseley,England,PRESENT,5,e2e717bf-551a-4917-bdc9-4fa0f342c530,52.9357,0.60925,,,,,,,2004-02-29T00:00:00,29,2,2004,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS933994747,,,,CC0_1_0,,obsr423329,,,2021-03-09T12:55:37.085Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801104477,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS920684428,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Therfield Heath LNR,England,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,52.0429,-0.052121,,,,,,,2013-02-09T00:00:00,9,2,2013,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS920684428,,,,CC0_1_0,,obsr497887,,,2021-03-09T13:05:07.116Z,,COORDINATE_ROUNDED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801053561,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS854569041,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Freiston Shore RSPB Reserve,England,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,52.9604,0.083256,,,,,,,2014-01-12T00:00:00,12,1,2014,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS854569041,,,,CC0_1_0,,obsr676750,,,2021-03-09T12:56:48.870Z,,COORDINATE_ROUNDED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801053456,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS854389302,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Roxholme TF0650,England,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,53.0412,-0.412992,,,,,,,2019-05-21T00:00:00,21,5,2019,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS854389302,,,,CC0_1_0,,obsr676750,,,2021-03-09T12:56:48.707Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2801043907,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS835645643,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Clothall Common--Wallington Road viewpoint,England,PRESENT,50,e2e717bf-551a-4917-bdc9-4fa0f342c530,51.994,-0.154737,,,,,,,2019-12-07T00:00:00,7,12,2019,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS835645643,,,,CC0_1_0,,obsr650207,,,2021-03-09T12:58:52.280Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2800987459,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS848135025,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Cotley Hill,England,PRESENT,5,e2e717bf-551a-4917-bdc9-4fa0f342c530,51.1907,-2.12301,,,,,,,2016-05-29T00:00:00,29,5,2016,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS848135025,,,,CC0_1_0,,obsr1236634,,,2021-03-09T12:56:13.611Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2800965844,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS854380356,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,BW_Churn Farm_Bridge_SU5083,England,PRESENT,13,e2e717bf-551a-4917-bdc9-4fa0f342c530,51.5481,-1.27311,,,,,,,2019-03-17T00:00:00,17,3,2019,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS854380356,,,,CC0_1_0,,obsr676750,,,2021-03-09T13:03:27.053Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2800965841,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS854379321,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra,,SPECIES,"Emberiza calandra Linnaeus, 1758",Emberiza calandra,,GB,Dunsby Fen,England,PRESENT,15,e2e717bf-551a-4917-bdc9-4fa0f342c530,52.8345,-0.39188,,,,,,,2019-01-25T00:00:00,25,1,2019,7634625,7634625,HUMAN_OBSERVATION,CLO,EBIRD,OBS854379321,,,,CC0_1_0,,obsr676750,,,2021-03-09T13:07:25.730Z,,COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
